Stock,Availability,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,FluorescenceColor,Measurements,Lab,Certificate,Rap,Discount,percarat,FancyColor,FancyColorIntensity,FancyColorOvertone,Depth,Table,GirdleThin,GirdleThick,Girdle,GirdleCondition,CuletSize,CuletCondition,CrownHeight,CrownAngle,PavilionDepth,PavilionAngle,Country,DiamondImage,VIDEO,CertPDFUrl,Heartimage,ArrowImage,AssetImage,Keytosymbols,Shade,BlackInclusion,Milky,EyeClean
H384-217896,Subject to Prior Sale,EMERALD,1.51,I,VS2,,VG,VG,,VSL,7.52 - 5.22 X 3.73,IGI,502149130,7600.0,44.0,4256.0,,,,71.5,70.0,THICK,,6.0,,NON,,13.0,28.9,52.5,45.4,MUM,https://thnk18.azureedge.net/img/images/imaged/H384-217896/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H384-217896,https://thnk18.azureedge.net/img/CertImages/502149130.jpg,,,,,NONE,PIN POINT BLACK,NONE,100.0
H578-217900,Subject to Prior Sale,OVAL,0.7,F,SI1,,VG,VG,,FNT,7.65 - 4.95 X 2.91,GIA,7413968672,3800.0,30.0,2660.0,,,,58.8,58.0,MED,VTK,0.0,Faceted,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H578-217900/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H578-217900,https://thnk18.azureedge.net/img/CertImages/7413968672.jpg,,,,Crystal  Feather,NONE,MEDIUM BLACK,NONE,80.0
H615-217903,Subject to Prior Sale,ROUND,0.5,H,VS1,EX,EX,EX,,NON,5.09 - 5.06 X 3.18,IGI,497186238,3900.0,32.0,2652.0,,,,62.7,56.5,Medium (Faceted) ,,3.0,,,,14.5,33.6,44.5,41.7,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217903/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217903,https://thnk18.azureedge.net/img/CertImages/497186238.jpg,,,,,NONE,NONE,NONE,100.0
J403-217904,Subject to Prior Sale,ROUND,0.41,G,SI1,EX,EX,EX,,FNT,4.74 - 4.72 X 2.97,GIA,2416818165,2200.0,28.5,1573.0,,,,62.8,55.0,MED,,3.5,Faceted,NON,,16.5,36.5,42.5,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/J403-217904/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J403-217904,https://thnk18.azureedge.net/img/CertImages/2416818165.jpg,,,,Cloud,LIGHT BROWN,MINOR BLACK,NONE,90.0
H615-217908,Subject to Prior Sale,ROUND,0.3,F,SI1,EX,EX,EX,,NON,4.29 - 4.26 X 2.64,GIA,5413818145,2000.0,22.5,1550.0,,,,61.8,60.0,MED,STK,4.0,Faceted,NON,,14.5,35.5,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217908/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217908,https://thnk18.azureedge.net/img/CertImages/5413818145.jpg,,,,Crystal  Cavity,NONE,MINOR BLACK,NONE,80.0
H588-217909,Subject to Prior Sale,ROUND,0.3,E,SI1,EX,EX,EX,,NON,4.39 - 4.36 X 2.63,GIA,1415818159,2100.0,25.5,1564.5,,,,60.2,57.0,THN,MED,3.0,Faceted,NON,,14.5,34.0,42.5,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/H588-217909/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H588-217909,https://thnk18.azureedge.net/img/CertImages/1415818159.jpg,,,,Crystal  Feather,NONE,MINOR BLACK,NONE,90.0
J403-217910,Subject to Prior Sale,CUSHION MODIFIED,0.57,*,SI1,,VG,VG,,NON,4.54 - 4.48 X 3.05,GIA,6224215931,2500.0,0.0,2250.0,BROWN,FANCY,PINKISH BROWN,67.9,57.0,VTK,ETK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J403-217910/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J403-217910,https://thnk18.azureedge.net/img/CertImages/6224215931.jpg,,,,CRYSTAL  NEEDLE  CLOUD  NATURAL,NONE,MINOR BLACK,NONE,90.0
H592-217917,Subject to Prior Sale,EMERALD,0.6,F,VVS2,,VG,VG,,NON,5.50 - 4.01 X 2.69,GIA,2417872428,3200.0,22.0,2496.0,,,,67.1,67.0,THK,VTK,0.0,,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H592-217917/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H592-217917,https://thnk18.azureedge.net/img/CertImages/2417872428.jpg,,,,Needle  Pinpoint  Feather  Indented Natural,NONE,PIN POINT BLACK,NONE,100.0
H587-217920,Subject to Prior Sale,HEART,1.01,G,SI2,,VG,VG,,NON,6.23 - 6.63 X 4.01,GIA,7412968043,4800.0,41.0,2832.0,,,,60.6,60.0,VTK,ETK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H587-217920/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H587-217920,https://thnk18.azureedge.net/img/CertImages/7412968043.jpg,,,,CRYSTAL  TWINNING WISP  FEATHER  CLOUD  NEEDLE,NONE,HEAVY BLACK,NONE,80.0
H573-217925,Subject to Prior Sale,PEAR,0.51,D,VVS2,,EX,VG,,NON,7.31 - 4.44 X 2.74,GIA,2418816403,3600.0,21.5,2826.0,,,,61.7,61.0,THN,THK,0.0,Faceted,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H573-217925/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H573-217925,https://thnk18.azureedge.net/img/CertImages/2418816403.jpg,,,,Needle  Pinpoint  Cloud,NONE,NONE,NONE,100.0
J109-217927,Subject to Prior Sale,ROUND,0.7,I,SI1,EX,EX,EX,,NON,5.73 - 5.68 X 3.51,IGI,502149141,3300.0,29.75,2318.25,,,,61.5,60.0,MEDIUM,SLIGHTLY THICK (FACETE,4.0,,NON,,13.0,32.8,44.5,41.7,MUM,https://thnk18.azureedge.net/img/images/imaged/J109-217927/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J109-217927,https://thnk18.azureedge.net/img/CertImages/502149141.jpg,,,,,NONE,MINOR BLACK,NONE,90.0
H608-217929,Subject to Prior Sale,ROUND,0.45,G,SI1,EX,EX,VG,,NON,4.90 - 4.86 X 3.06,GIA,5413843813,2200.0,17.0,1826.0,,,,62.7,54.0,MED,STK,4.0,Faceted,NON,,16.0,35.0,43.0,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/H608-217929/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H608-217929,https://thnk18.azureedge.net/img/CertImages/5413843813.jpg,,,,Cloud,NONE,NONE,NONE,80.0
