stock_no,item_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
HNNZ5,227925,HK,G,round,0.40,F,VS1,VG,VG,VG,N,4.54-4.61x2.94,GIA,1403455449,2800,-40.20%,$669.76,WH,M0,,,BT1,BC0,EC0,,Y,59.00,64.20,37.50,40.60,Indented Natural  Needle  Pinpoint,N,2021-09-20,,Arrived,,,NO BGM
GNNZ5,227924,HK,G,round,0.40,F,VS1,VG,EX,VG,N,4.60-4.65x2.99,GIA,2406419669,2800,-39.30%,$679.84,WH,M0,,,BT0,BC0,EC0,,Y,56.00,64.70,36.50,41.20,Indented Natural  Cloud,N,2021-09-18,,Arrived,,,NO BGM  no black
FNNZ5,227923,HK,G,round,0.40,G,VS2,EX,EX,EX,N,4.68-4.72x2.96,GIA,2398953187,2500,-27.10%,$729.00,WH,M0,,,BT0,BC0,EC0,,Y,56.00,63.00,36.00,41.20,Crystal,N,2021-08-20,,Arrived,,,NO BGM  no black
ENNZ5,227922,HK,G,round,0.40,G,VS2,EX,EX,EX,N,4.67-4.71x2.95,GIA,2407414104,2500,-27.90%,$721.00,WH,M0,,,BT1,BC0,EC0,,Y,56.00,62.90,36.50,40.80,Cloud  Crystal,N,2021-09-18,,Arrived,,,NO BGM
DNNZ5,227921,HK,G,round,0.40,F,VS1,VG,EX,VG,N,4.58-4.62x2.97,GIA,5403054324,2800,-39.40%,$678.72,WH,M0,,,BT0,BC0,EC0,EX,Y,56.00,64.60,37.00,40.60,Indented Natural,N,2021-08-24,,Arrived,,,NO BGM  no black
CNNZ5,227920,HK,G,round,0.40,F,VS1,VG,EX,VG,N,4.59-4.63x2.96,GIA,1408414806,2800,-39.40%,$678.72,WH,M0,,,BT0,BC0,EC0,,Y,59.00,64.20,37.00,40.80,Indented Natural  Pinpoint,N,2021-09-17,,Arrived,,,NO BGM  no black
BNNZ5,227919,HK,G,round,0.40,G,VVS2,EX,EX,EX,N,4.69-4.71x2.94,GIA,2221106262,2700,-27.40%,$784.08,WH,M0,,,BT0,BC0,EC0,,Y,57.00,62.60,36.50,41.00,Feather  Indented Natural  Surface Graining  Natural,VS,2021-10-26,,Arrived,,,NO BGM  no black
9NNZ5,227917,HK,G,round,0.40,G,VVS2,EX,EX,EX,N,4.68-4.71x2.94,GIA,5221091050,2700,-26.90%,$789.48,WH,M0,,,BT0,BC0,EC0,,Y,57.00,62.50,36.50,41.00,Indented Natural,N,2021-10-20,,Arrived,,,NO BGM  no black
8NNZ5,227916,HK,G,round,0.40,D,IF,EX,EX,EX,N,4.82-4.85x2.86,GIA,7393617449,4400,-36.90%,$1110.56,WH,M0,,,BT0,BC0,EC0,,Y,59.00,59.30,32.00,41.00,Surface Graining  Minor Details of Polish,N,2021-07-30,,Arrived,,,NO BGM  no black
7NNZ5,227915,HK,G,round,0.40,G,VVS2,VG,VG,VG,N,4.55-4.59x2.95,GIA,2406575750,2700,-37.40%,$676.08,WH,M0,,,BT0,BC0,EC0,,Y,55.00,64.60,38.50,39.80,Pinpoint  Cloud  Feather  Natural,N,2021-10-09,,Arrived,,,NO BGM  no black
