Stock No,Shape,Carat,Color,Clarity,Cut,Polish,Symm,Fluor,Cert,Cert No,Measurements,Rap,back,Amount,Depth,Table,Shade,Milky,Eye Clean,Black Tab,Black Crn,Location,Comments,Arrive,Img
L0OZ5,round,0.70,G,VS1,EX,EX,EX,N,GIA,7401311284,5.59-5.63x3.57,5000,-29.80%,$2457.00,63.60%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
K0OZ5,round,0.70,G,VS1,EX,EX,EX,N,GIA,5403071668,5.74-5.77x3.48,5000,-29.40%,$2471.00,60.50%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
J0OZ5,round,0.70,G,VS1,EX,EX,EX,N,GIA,1408320649,5.59-5.63x3.56,5000,-29.40%,$2471.00,63.50%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
I0OZ5,round,0.70,H,VS1,EX,EX,EX,N,GIA,2396352428,5.63-5.67x3.53,4700,-29.40%,$2322.74,62.50%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
H0OZ5,round,0.70,G,VS1,EX,EX,EX,N,GIA,2397752482,5.63-5.67x3.52,5000,-29.40%,$2471.00,62.30%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
G0OZ5,round,0.30,E,VVS2,EX,EX,EX,N,GIA,3415010746,4.36-4.39x2.61,2600,-37.10%,$490.62,59.70%,62.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
F0OZ5,round,0.70,E,VS1,EX,EX,EX,N,GIA,1403128223,5.63-5.66x3.49,5600,-33.30%,$2614.64,61.80%,60.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
E0OZ5,round,0.70,E,VS1,EX,EX,EX,N,GIA,5406030571,5.61-5.65x3.55,5600,-32.50%,$2646.00,63.00%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
D0OZ5,round,0.70,E,VS1,EX,EX,EX,N,GIA,2394355232,5.62-5.65x3.55,5600,-32.90%,$2630.32,63.10%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
C0OZ5,round,0.70,E,VS1,EX,EX,EX,N,GIA,1395764762,5.65-5.67x3.53,5600,-32.50%,$2646.00,62.30%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
B0OZ5,round,0.70,E,VS1,EX,EX,EX,N,GIA,2398384544,5.63-5.66x3.55,5600,-32.90%,$2630.32,62.90%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
A0OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,5416054913,5.71-5.73x3.49,4800,-29.00%,$2385.60,61.00%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
90OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,6405412353,5.60-5.63x3.53,4800,-28.50%,$2402.40,62.90%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
80OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,1407394456,5.63-5.67x3.47,4800,-29.00%,$2385.60,61.30%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
70OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,1409397117,5.67-5.70x3.50,4800,-29.00%,$2385.60,61.60%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
60OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,3405311133,5.63-5.67x3.54,4800,-28.50%,$2402.40,62.80%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
50OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,2404415326,5.61-5.64x3.56,4800,-29.50%,$2368.80,63.40%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
40OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,6402128324,5.61-5.64x3.53,4800,-28.50%,$2402.40,62.80%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
30OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,1395859751,5.61-5.64x3.53,4800,-28.10%,$2415.84,62.80%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
20OZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,6392448643,5.62-5.66x3.53,4800,-28.50%,$2402.40,62.50%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
10OZ5,round,0.80,D,VS1,EX,EX,EX,N,GIA,5403011662,5.88-5.92x3.66,5900,-21.40%,$3709.92,62.00%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
00OZ5,round,0.52,G,VS2,EX,EX,EX,N,GIA,2396045100,5.09-5.12x3.22,3800,-30.00%,$1383.20,63.00%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
YZNZ5,round,0.52,E,VS2,EX,EX,EX,N,GIA,1403882683,5.12-5.14x3.21,4000,-32.30%,$1408.16,62.50%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
XZNZ5,round,0.80,D,VS1,EX,EX,EX,N,GIA,2394520242,5.86-5.90x3.70,5900,-21.80%,$3691.04,63.00%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
WZNZ5,round,0.52,H,VS1,EX,EX,EX,N,GIA,6401357567,5.15-5.17x3.23,3800,-29.40%,$1395.06,62.60%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
UZNZ5,round,0.52,E,VVS2,EX,EX,EX,N,GIA,1418012093,5.23-5.26x3.10,4600,-35.70%,$1538.06,59.10%,62.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
TZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,7406612144,5.62-5.65x3.54,5300,-29.20%,$2626.68,62.80%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
SZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,2407612322,5.60-5.64x3.56,5300,-30.00%,$2597.00,63.30%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
RZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,7406621414,5.60-5.64x3.52,5300,-29.60%,$2611.84,62.60%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
QZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,7403072330,5.67-5.70x3.53,5300,-30.00%,$2597.00,62.10%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
PZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,3395751959,5.67-5.70x3.52,5300,-30.00%,$2597.00,62.00%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
OZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,6395767640,5.66-5.70x3.51,5300,-29.20%,$2626.68,61.70%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
NZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,2396490025,5.63-5.67x3.47,5300,-30.00%,$2597.00,61.50%,60.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
MZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,7398717657,5.64-5.67x3.50,5300,-29.60%,$2611.84,61.90%,60.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
KZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,6392751886,5.61-5.65x3.54,5300,-30.00%,$2597.00,62.90%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
JZNZ5,round,0.51,G,VS2,EX,EX,EX,N,GIA,7401158968,5.08-5.11x3.15,3800,-30.00%,$1356.60,61.80%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
HZNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,6391244696,5.65-5.68x3.51,5300,-29.60%,$2611.84,61.90%,60.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
GZNZ5,round,0.70,D,VVS2,EX,EX,EX,N,GIA,5396490400,5.64-5.68x3.48,6300,-31.40%,$3025.26,61.60%,60.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
DZNZ5,round,0.70,E,IF,EX,EX,EX,N,GIA,2396355278,5.62-5.66x3.54,6900,-30.10%,$3376.17,62.80%,56.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
CZNZ5,round,0.70,E,IF,EX,EX,EX,N,GIA,7398352021,5.62-5.65x3.53,6900,-29.60%,$3400.32,62.60%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
BZNZ5,round,0.50,F,VVS1,EX,EX,EX,N,GIA,6402961123,5.06-5.10x3.08,4600,-32.00%,$1564.00,60.70%,62.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
AZNZ5,round,0.50,F,VS2,EX,EX,EX,N,GIA,2404447841,5.00-5.03x3.18,3900,-29.50%,$1374.75,63.50%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
9ZNZ5,round,0.50,H,VS2,EX,EX,EX,N,GIA,1403182049,5.10-5.14x3.12,3700,-27.50%,$1341.25,60.90%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
8ZNZ5,round,0.50,H,VS2,EX,EX,EX,N,GIA,6392735439,5.04-5.06x3.11,3700,-27.00%,$1350.50,61.50%,62.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
7ZNZ5,round,0.50,G,VS2,EX,EX,EX,N,GIA,6401494638,5.06-5.08x3.16,3800,-28.00%,$1368.00,62.40%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
6ZNZ5,round,0.50,G,VS2,EX,EX,EX,N,GIA,2407797549,5.05-5.08x3.14,3800,-28.50%,$1358.50,62.10%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
5ZNZ5,round,0.80,F,VS2,EX,EX,EX,N,GIA,3405471611,5.83-5.87x3.74,5000,-21.30%,$3148.00,63.80%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
4ZNZ5,round,0.80,E,VVS2,EX,EX,EX,N,GIA,5403396164,5.85-5.88x3.73,5900,-20.60%,$3747.68,63.60%,56.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
3ZNZ5,round,0.50,E,VS2,EX,EX,EX,N,GIA,6402985934,5.10-5.12x3.12,4000,-30.30%,$1394.00,60.90%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
2ZNZ5,round,0.50,G,VS2,EX,EX,EX,N,GIA,7403783965,5.04-5.07x3.19,3800,-29.00%,$1349.00,63.10%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
1ZNZ5,round,0.50,F,VS2,EX,EX,EX,N,GIA,2406095716,5.17-5.19x3.06,3900,-30.00%,$1365.00,59.20%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
ZYNZ5,round,0.50,F,VS1,EX,EX,EX,N,GIA,2398995475,5.04-5.07x3.17,4200,-30.40%,$1461.60,62.70%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
YYNZ5,round,0.50,F,VS1,EX,EX,EX,N,GIA,7396366123,5.03-5.06x3.15,4200,-30.40%,$1461.60,62.50%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
XYNZ5,round,0.50,D,VS1,EX,EX,EX,N,GIA,3405832736,5.12-5.14x3.08,4600,-31.80%,$1568.60,60.10%,62.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
WYNZ5,round,0.70,H,VVS2,EX,EX,EX,N,GIA,2408347443,5.69-5.72x3.45,4800,-31.20%,$2311.68,60.40%,62.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
VYNZ5,round,0.50,E,VS2,EX,EX,EX,N,GIA,6412048763,5.14-5.17x3.07,4000,-30.30%,$1394.00,59.50%,62.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
UYNZ5,round,0.40,G,IF,EX,EX,EX,N,GIA,1408787327,4.73-4.76x2.90,3000,-26.10%,$886.80,61.10%,59.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
TYNZ5,round,0.50,E,VS2,EX,EX,EX,N,GIA,2407783980,5.10-5.12x3.09,4000,-31.10%,$1378.00,60.50%,62.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
SYNZ5,round,0.50,F,VS1,EX,EX,EX,N,GIA,6391808184,5.11-5.15x3.12,4200,-30.80%,$1453.20,60.90%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
RYNZ5,round,0.50,F,VS1,EX,EX,EX,N,GIA,1397364093,5.02-5.06x3.19,4200,-30.80%,$1453.20,63.20%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
QYNZ5,round,0.50,F,VS1,EX,EX,EX,N,GIA,1398193318,5.04-5.07x3.20,4200,-30.40%,$1461.60,63.30%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
PYNZ5,round,0.30,H,VS2,EX,EX,EX,N,GIA,7383702548,4.26-4.28x2.65,2000,-27.30%,$436.20,62.20%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
OYNZ5,round,0.50,F,VVS2,EX,EX,EX,N,GIA,6415011823,5.14-5.18x3.09,4400,-32.40%,$1487.20,59.80%,62.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
NYNZ5,round,0.50,F,VVS2,EX,EX,EX,N,GIA,2407881885,5.12-5.15x3.11,4400,-32.40%,$1487.20,60.50%,62.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
MYNZ5,round,0.70,F,VVS2,EX,EX,EX,N,GIA,6392463399,5.62-5.66x3.53,5600,-28.80%,$2791.04,62.60%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
LYNZ5,round,0.70,F,VVS2,EX,EX,EX,N,GIA,5393509485,5.66-5.69x3.52,5600,-28.80%,$2791.04,62.00%,60.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
JYNZ5,round,0.51,F,VS1,EX,EX,EX,N,GIA,6365914741,5.04-5.07x3.20,4200,-31.90%,$1458.70,63.30%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
IYNZ5,round,0.50,G,VS1,EX,EX,EX,N,GIA,5396630158,5.06-5.09x3.17,4000,-28.60%,$1428.00,62.50%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
HYNZ5,round,0.50,H,VS2,EX,EX,EX,N,GIA,5383607683,5.04-5.07x3.16,3700,-26.50%,$1359.75,62.60%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
GYNZ5,round,0.50,H,VS2,EX,EX,EX,N,GIA,7382252409,5.04-5.07x3.19,3700,-26.50%,$1359.75,63.00%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
FYNZ5,round,0.50,G,VS2,EX,EX,EX,N,GIA,6382605856,5.04-5.08x3.16,3800,-28.00%,$1368.00,62.40%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
EYNZ5,round,0.50,G,VS2,EX,EX,EX,N,GIA,6381321555,5.04-5.07x3.15,3800,-28.00%,$1368.00,62.20%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
DYNZ5,round,0.50,F,VS2,EX,EX,EX,N,GIA,6382126702,5.05-5.08x3.13,3900,-30.00%,$1365.00,61.80%,62.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
CYNZ5,round,0.50,E,VS2,EX,EX,EX,N,GIA,6402585199,5.09-5.12x3.12,4000,-29.80%,$1404.00,61.10%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
BYNZ5,round,0.50,F,VS2,EX,EX,EX,N,GIA,6382128138,5.16-5.19x3.08,3900,-29.50%,$1374.75,59.60%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
AYNZ5,round,0.50,H,VS2,EX,EX,EX,N,GIA,1397994237,5.08-5.11x3.12,3700,-27.00%,$1350.50,61.20%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
9YNZ5,round,0.50,G,VS2,EX,EX,EX,N,GIA,2406387732,5.10-5.13x3.10,3800,-29.30%,$1343.30,60.60%,62.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
8YNZ5,round,0.30,G,VS2,EX,EX,EX,N,GIA,5406403318,4.27-4.29x2.63,2100,-30.30%,$439.11,61.40%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
7YNZ5,round,1.00,F,SI2,EX,EX,EX,N,GIA,1387025148,6.37-6.40x3.93,6300,-32.40%,$4258.80,61.60%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
6YNZ5,round,1.00,F,SI2,EX,EX,EX,N,GIA,1403127118,6.36-6.39x3.94,6300,-32.40%,$4258.80,61.90%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
5YNZ5,round,1.00,F,SI2,EX,EX,EX,N,GIA,6395662301,6.32-6.34x3.98,6300,-32.40%,$4258.80,62.80%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
4YNZ5,round,0.80,I,SI1,EX,EX,EX,N,GIA,7408255965,5.88-5.92x3.74,3300,-23.10%,$2030.16,63.40%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
3YNZ5,round,1.01,G,SI1,EX,EX,EX,N,GIA,1383586777,6.46-6.50x3.88,7200,-28.40%,$5206.75,59.90%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
2YNZ5,round,1.00,G,SI2,EX,EX,EX,N,GIA,2356957980,6.35-6.39x3.97,5900,-33.00%,$3953.00,62.30%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
1YNZ5,round,0.50,F,SI1,EX,EX,EX,N,GIA,2396632995,5.07-5.10x3.14,3300,-29.10%,$1169.85,61.70%,60.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
0YNZ5,round,1.00,G,SI1,EX,EX,EX,N,GIA,2384388563,6.38-6.41x3.93,7200,-28.40%,$5155.20,61.50%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
ZXNZ5,round,1.01,H,VVS2,EX,EX,EX,N,GIA,2211822941,6.37-6.41x4.00,8900,-26.80%,$6579.95,62.60%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
XXNZ5,round,1.00,I,VS2,EX,EX,EX,N,GIA,6405882480,6.37-6.41x3.91,6500,-26.50%,$4777.50,61.20%,60.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
WXNZ5,round,0.71,H,VS1,EX,EX,EX,N,GIA,7396639287,5.64-5.67x3.54,4700,-30.50%,$2319.22,62.50%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
VXNZ5,round,0.70,J,VS2,EX,EX,EX,N,GIA,2397518409,5.71-5.74x3.43,2900,-26.50%,$1492.05,59.90%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
UXNZ5,round,0.71,F,VS1,EX,EX,EX,N,GIA,2404801534,5.68-5.72x3.51,5300,-31.10%,$2592.71,61.50%,60.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
TXNZ5,round,0.71,H,VS1,EX,EX,EX,N,GIA,1397551108,5.84-5.87x3.42,4700,-31.30%,$2292.52,58.30%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
SXNZ5,round,0.71,H,VS1,EX,EX,EX,N,GIA,7398466536,5.64-5.68x3.55,4700,-30.90%,$2305.87,62.70%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
RXNZ5,round,0.71,H,VS1,EX,EX,EX,N,GIA,7391148634,5.64-5.68x3.54,4700,-30.90%,$2305.87,62.60%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
QXNZ5,round,0.71,F,VS2,EX,EX,EX,N,GIA,6395602082,5.68-5.71x3.49,5000,-32.30%,$2403.35,61.30%,60.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
PXNZ5,round,0.71,F,VS2,EX,EX,EX,N,GIA,2397233458,5.64-5.68x3.55,5000,-31.00%,$2449.50,62.70%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
OXNZ5,round,0.70,D,VVS1,EX,EX,EX,N,GIA,6392353964,5.59-5.62x3.56,6900,-32.40%,$3265.08,63.50%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
NXNZ5,round,0.70,G,VVS1,EX,EX,EX,N,GIA,5393009058,5.67-5.69x3.57,5400,-31.60%,$2585.52,62.90%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
MXNZ5,round,0.70,H,VS1,EX,EX,EX,N,GIA,6382046916,5.61-5.65x3.52,4700,-29.40%,$2322.74,62.50%,59.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
LXNZ5,round,0.70,G,VS1,EX,EX,EX,N,GIA,6391509670,5.61-5.64x3.53,5000,-29.40%,$2471.00,62.80%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
KXNZ5,round,0.70,G,VS1,EX,EX,EX,N,GIA,6395148468,5.61-5.65x3.55,5000,-30.20%,$2443.00,63.00%,54.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
JXNZ5,round,0.70,G,VS1,EX,EX,EX,N,GIA,2396055367,5.65-5.70x3.52,5000,-29.80%,$2457.00,61.90%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
IXNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,2398403133,5.66-5.69x3.49,5300,-29.60%,$2611.84,61.50%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
HXNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,1387377421,5.66-5.68x3.56,5300,-29.60%,$2611.84,62.90%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
GXNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,6372471964,5.63-5.67x3.54,5300,-29.20%,$2626.68,62.60%,57.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
FXNZ5,round,0.70,G,VS2,EX,EX,EX,N,GIA,7398092988,5.64-5.67x3.54,4800,-28.50%,$2402.40,62.60%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
EXNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,2394448548,5.60-5.64x3.55,5300,-30.00%,$2597.00,63.10%,55.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
DXNZ5,round,0.70,F,VS1,EX,EX,EX,N,GIA,6391349199,5.66-5.68x3.53,5300,-30.00%,$2597.00,62.20%,56.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
CXNZ5,round,0.70,E,IF,EX,EX,EX,N,GIA,2387229392,5.60-5.64x3.52,6900,-29.60%,$3400.32,62.70%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
BXNZ5,round,0.71,F,VS1,EX,EX,EX,N,GIA,6391329282,5.72-5.76x3.51,5300,-31.10%,$2592.71,61.20%,61.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
AXNZ5,round,0.50,H,VS1,EX,EX,EX,N,GIA,2386123803,5.06-5.09x3.16,3800,-27.00%,$1387.00,62.20%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
9XNZ5,round,0.71,F,VS1,EX,EX,EX,N,GIA,2397349234,5.65-5.69x3.56,5300,-31.10%,$2592.71,62.80%,58.00%,WH,M0,EC0,,,HK,NO BGM,Arrived,
8XNZ5,round,0.70,H,VVS2,EX,EX,EX,N,GIA,6392547576,5.60-5.64x3.52,4800,-30.60%,$2331.84,62.70%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
7XNZ5,round,0.70,H,VVS2,EX,EX,EX,N,GIA,1397349168,5.63-5.68x3.53,4800,-30.60%,$2331.84,62.40%,55.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
6XNZ5,round,0.70,H,VVS2,EX,EX,EX,N,GIA,2384401989,5.65-5.69x3.53,4800,-30.60%,$2331.84,62.20%,60.00%,WH,M0,EC0,BT0,BC0,HK,NO BGM  no black,Arrived,
5XNZ5,round,0.32,D,VS2,EX,EX,EX,N,GIA,7393328385,4.42-4.43x2.76,2400,-38.30%,$473.86,62.40%,58.00%,WH,M0,EC0,BT1,BC1,INDIA,NO BGM,,
4XNZ5,round,0.30,F,VS2,EX,EX,EX,N,GIA,6392009269,4.35-4.37x2.62,2200,-33.30%,$440.22,60.20%,59.00%,WH,M0,EC0,BT1,BC1,INDIA,NO BGM,,
3XNZ5,round,0.30,G,IF,EX,EX,EX,N,GIA,6402429165,4.34-4.37x2.65,2700,-37.60%,$505.44,60.90%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
2XNZ5,round,0.30,G,IF,EX,EX,EX,N,GIA,6372506355,4.26-4.29x2.69,2700,-37.60%,$505.44,62.90%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
1XNZ5,round,0.30,G,IF,EX,EX,EX,N,GIA,5221010963,4.36-4.38x2.62,2700,-37.10%,$509.49,60.00%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
0XNZ5,round,0.30,E,IF,EX,EX,EX,N,GIA,2407219706,4.39-4.42x2.64,3000,-37.10%,$566.10,59.90%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
YWNZ5,round,0.30,E,IF,EX,EX,EX,N,GIA,6381980329,4.33-4.35x2.63,3000,-37.10%,$566.10,60.60%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
XWNZ5,round,1.00,H,VS1,EX,EX,EX,N,GIA,3405693332,6.34-6.38x3.99,8500,-26.00%,$6290.00,62.70%,56.00%,WH,M0,EC0,BT1,BC0,INDIA,NO BGM,,
WWNZ5,round,1.00,F,VS2,EX,EX,EX,F,GIA,7402694137,6.36-6.41x3.91,9500,-39.10%,$5785.50,61.30%,60.00%,WH,M0,EC0,BT1,BC1,INDIA,NO BGM,,
VWNZ5,round,1.51,G,VS2,EX,EX,EX,N,GIA,5416073153,7.27-7.32x4.56,11500,-27.60%,$12572.26,62.50%,58.00%,WH,M0,EC0,BT1,BC0,INDIA,NO BGM,,
UWNZ5,round,1.00,K,VS2,GD,VG,GD,N,GIA,2407329606,6.01-6.13x4.03,4300,-45.40%,$2347.80,66.40%,59.00%,WH,M0,EC0,BT1,BC0,INDIA,NO BGM,,
TWNZ5,round,0.70,H,VS2,EX,EX,EX,N,GIA,6213960795,5.65-5.71x3.45,4500,-30.30%,$2195.55,60.80%,60.00%,WH,M0,EC0,BT1,BC1,INDIA,NO BGM,,
RWNZ5,round,0.50,F,VS2,EX,EX,EX,N,GIA,6223052508,5.08-5.11x3.18,3900,-29.00%,$1384.50,62.50%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
QWNZ5,round,0.50,F,VS2,EX,EX,EX,N,GIA,5221089528,5.07-5.10x3.19,3900,-29.00%,$1384.50,62.70%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
PWNZ5,round,0.50,F,VS2,EX,EX,EX,F,GIA,2225090853,5.07-5.10x3.20,3900,-35.30%,$1261.65,62.90%,54.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
OWNZ5,round,0.50,G,VS2,EX,EX,EX,N,GIA,2408449445,5.07-5.10x3.17,3800,-28.80%,$1352.80,62.40%,56.00%,WH,M0,EC0,BT1,BC0,INDIA,NO BGM,,
NWNZ5,round,0.50,F,VS2,EX,EX,EX,N,GIA,6223004277,5.14-5.16x3.11,3900,-29.30%,$1378.65,60.30%,55.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
