Stock No,Shape,Carat,Color,Clarity,Cut,Polish,Symm,Fluor,Cert,Cert No,Measurements,Rap,back,Amount,Depth,Table,Shade,Milky,Eye Clean,Black Tab,Black Crn,Location,Comments,Arrive,Img
ZLJZ5,round,0.30,I,SI1,EX,EX,VG,N,GIA,2388452782,4.26-4.30x2.63,1600,-36.90%,$302.88,61.50%,62.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,
XJJZ5,round,0.50,J,VS2,EX,EX,EX,N,GIA,1389510143,5.03-5.07x3.18,2400,-29.10%,$850.80,62.90%,55.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
FJJZ5,round,0.50,G,SI1,EX,EX,EX,M,GIA,2396080825,5.00-5.04x3.18,3200,-36.80%,$1011.20,63.40%,55.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
6JJZ5,round,0.50,D,SI1,GD,EX,VG,N,GIA,7396373093,4.86-4.89x3.18,3600,-49.70%,$905.40,65.10%,55.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
VIJZ5,round,0.63,D,SI1,EX,EX,EX,N,GIA,5366913504,5.55-5.56x3.33,3600,-30.60%,$1573.99,59.90%,59.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
KFJZ5,round,1.01,F,VVS1,VG,EX,VG,N,GIA,6371884056,6.17-6.24x4.01,12600,-48.00%,$6617.52,64.70%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
GFJZ5,round,0.81,D,SI1,EX,EX,EX,N,GIA,6385886267,5.96-5.98x3.68,4600,-29.00%,$2645.46,61.70%,59.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,
YEJZ5,round,1.00,H,SI2,VG,EX,VG,N,GIA,7356879139,6.21-6.29x4.05,5600,-38.80%,$3427.20,64.80%,60.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
WEJZ5,round,0.70,E,VVS1,VG,EX,EX,N,GIA,1395055182,5.50-5.54x3.53,6400,-42.50%,$2576.00,64.00%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
KEJZ5,round,0.80,E,SI1,VG,EX,VG,N,GIA,6392356844,5.71-5.78x3.72,4400,-34.70%,$2298.56,64.70%,58.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,
GEJZ5,round,0.70,E,VVS1,VG,EX,VG,N,GIA,2396364511,5.51-5.57x3.57,6400,-42.50%,$2576.00,64.40%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
AEJZ5,round,0.50,I,SI1,GD,EX,VG,N,GIA,5393093828,4.87-4.92x3.23,2600,-45.00%,$715.00,66.00%,57.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
QDJZ5,round,0.40,J,VS2,EX,EX,EX,N,GIA,6361489624,4.71-4.73x2.90,1800,-32.50%,$486.00,61.50%,60.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
NDJZ5,round,0.40,J,VVS1,EX,EX,EX,N,GIA,7388416282,4.66-4.70x2.94,2100,-34.30%,$551.88,62.90%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
YAJZ5,round,0.50,E,VVS1,GD,VG,VG,N,GIA,5386550452,4.85-4.90x3.21,5000,-56.70%,$1082.50,65.90%,56.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
FAJZ5,round,0.80,J,VVS2,VG,EX,VG,N,GIA,7373309604,5.75-5.79x3.74,3300,-25.80%,$1958.88,64.80%,59.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
EAJZ5,round,0.80,J,VVS2,VG,EX,EX,N,GIA,6371800794,5.75-5.79x3.71,3300,-25.50%,$1966.80,64.20%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
DAJZ5,round,0.80,J,VVS1,VG,EX,VG,N,GIA,7378880926,5.72-5.81x3.72,3500,-26.50%,$2058.00,64.40%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
3AJZ5,round,1.52,I,VVS1,EX,EX,EX,N,GIA,6361377895,7.34-7.39x4.54,10200,-27.90%,$11178.38,61.60%,59.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
U6JZ5,round,0.50,E,VVS1,GD,EX,VG,N,GIA,6395124655,4.83-4.89x3.19,5000,-57.00%,$1075.00,65.70%,55.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
94JZ5,round,1.01,I,SI1,VG,EX,VG,N,GIA,2387437572,6.25-6.33x3.98,6000,-42.80%,$3466.32,63.30%,57.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,
82JZ5,round,0.80,J,VVS2,VG,EX,VG,N,GIA,5212811708,5.77-5.83x3.72,3300,-25.50%,$1966.80,64.20%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,5212811708
91JZ5,round,0.50,H,SI1,GD,EX,VG,N,GIA,6381405635,4.78-4.86x3.21,3100,-45.20%,$849.40,66.60%,60.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,
BZIZ5,round,0.50,H,VS1,EX,EX,EX,N,GIA,6213754286,5.15-5.18x3.08,3800,-28.00%,$1368.00,59.70%,59.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,6213754286
AZIZ5,round,0.50,H,VS1,EX,EX,EX,N,GIA,5212754486,5.04-5.06x3.17,3800,-28.00%,$1368.00,62.90%,55.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
3ZIZ5,round,0.60,I,VS1,EX,EX,EX,N,GIA,6385629274,5.37-5.40x3.35,3200,-33.00%,$1286.40,62.20%,57.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,
JQIZ5,round,0.50,D,SI1,GD,EX,GD,N,GIA,2396091561,4.80-4.89x3.21,3600,-50.00%,$900.00,66.40%,56.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
LOIZ5,round,0.50,I,SI1,GD,EX,EX,N,GIA,5396042821,4.82-4.86x3.19,2600,-45.90%,$703.30,65.90%,61.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
MNIZ5,round,1.00,H,SI2,VG,EX,VG,N,GIA,6381895228,6.36-6.43x3.87,5600,-39.20%,$3404.80,60.50%,64.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
HMIZ5,round,0.30,I,VS2,EX,EX,EX,N,GIA,3385027023,4.35-4.37x2.61,1900,-35.90%,$365.37,59.80%,60.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
BMIZ5,round,0.51,E,SI1,EX,EX,EX,F,GIA,1373166720,5.08-5.12x3.20,3400,-37.30%,$1087.22,62.80%,58.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
8MIZ5,round,1.00,D,SI1,EX,EX,EX,N,GIA,5393075703,6.56-6.58x3.85,8400,-34.00%,$5544.00,58.60%,62.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
9KIZ5,round,0.80,J,VVS2,VG,EX,EX,N,GIA,7393007802,5.74-5.79x3.74,3300,-25.50%,$1966.80,64.90%,56.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
PIIZ5,round,0.30,I,VS2,EX,EX,EX,N,GIA,6382008848,4.25-4.28x2.64,1900,-35.90%,$365.37,61.90%,61.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
JGIZ5,round,0.80,E,VS1,VG,VG,EX,N,GIA,2386231167,5.74-5.78x3.73,5600,-34.40%,$2938.88,64.80%,56.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
IGIZ5,round,0.80,E,VS1,VG,EX,EX,N,GIA,5386229514,5.76-5.79x3.71,5600,-34.20%,$2947.84,64.30%,57.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
FGIZ5,round,0.30,K,VS1,EX,EX,EX,N,GIA,6335312260,4.37-4.40x2.58,1500,-35.50%,$290.25,58.70%,60.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
0GIZ5,round,0.50,E,SI2,VG,VG,VG,N,GIA,6371835895,4.94-4.96x3.18,2800,-40.20%,$837.20,64.30%,57.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
YFIZ5,round,0.50,E,SI2,VG,EX,VG,N,GIA,2386477202,4.97-4.99x3.20,2800,-39.80%,$842.80,64.30%,56.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
WFIZ5,round,0.61,D,SI1,VG,EX,VG,N,GIA,7323713928,5.26-5.33x3.40,3600,-37.50%,$1372.50,64.30%,56.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
GFIZ5,round,0.80,G,IF,EX,EX,EX,N,GIA,2387964550,5.88-5.92x3.67,5700,-27.10%,$3324.24,62.30%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
REIZ5,round,0.30,J,VVS2,VG,EX,VG,N,GIA,1388259102,4.20-4.22x2.65,1800,-39.60%,$326.16,63.00%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
LEIZ5,round,0.60,D,SI1,VG,EX,VG,N,GIA,2384594138,5.43-5.45x3.23,3600,-36.20%,$1378.08,59.40%,63.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
6EIZ5,round,0.31,D,SI1,EX,EX,EX,N,GIA,5376129582,4.39-4.41x2.66,2200,-38.80%,$417.38,60.50%,61.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
4EIZ5,round,0.30,D,SI1,EX,EX,EX,N,GIA,6385130120,4.29-4.31x2.60,2200,-37.00%,$415.80,60.50%,62.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
ZDIZ5,heart,1.00,G,VS2,--,EX,VG,N,GIA,5386623163,5.73x6.89x4.16,6100,-39.80%,$3672.20,60.30%,63.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,5386623163
ADIZ5,round,1.50,G,VS1,VG,EX,VG,N,GIA,7383960856,7.13-7.19x4.57,12700,-35.00%,$12382.50,63.80%,59.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,7383960856
3DIZ5,round,1.51,G,VS2,VG,EX,VG,N,GIA,6385656471,7.07-7.16x4.60,11500,-35.00%,$11287.25,64.70%,56.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,6385656471
OCIZ5,round,1.01,K,VVS1,VG,EX,VG,N,GIA,2211687133,6.23-6.31x4.03,5000,-37.50%,$3156.25,64.30%,55.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,2211687133
3BIZ5,round,0.50,D,SI1,EX,EX,EX,F,GIA,7388890805,5.01-5.04x3.18,3600,-37.70%,$1121.40,63.30%,56.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,7388890805
UAIZ5,round,0.50,E,SI2,EX,EX,EX,N,GIA,1383565382,5.17-5.20x3.10,2800,-31.80%,$954.80,59.70%,59.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,1383565382
T9IZ5,round,0.50,G,VS2,VG,EX,VG,F,GIA,2386997736,4.92-4.97x3.19,3800,-43.90%,$1065.90,64.50%,55.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,
P9IZ5,round,0.50,H,VS1,EX,EX,EX,N,GIA,5211733072,5.03-5.06x3.17,3800,-28.00%,$1368.00,62.90%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,5211733072
J9IZ5,round,0.50,H,VS1,EX,EX,EX,N,GIA,7382963291,5.08-5.11x3.15,3800,-28.00%,$1368.00,61.90%,58.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,7382963291
C9IZ5,round,0.50,H,VS1,EX,EX,EX,N,GIA,5211735003,5.08-5.10x3.18,3800,-28.00%,$1368.00,62.40%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,5211735003
E6IZ5,round,0.50,H,VS1,EX,EX,EX,N,GIA,5212686573,5.06-5.09x3.17,3800,-28.00%,$1368.00,62.50%,57.00%,WH,M0,EC0,BT0,BC1,HK,NO  BGM   table  no  black,Arrived,5212686573
X3IZ5,round,0.61,F,IF,EX,EX,EX,N,GIA,6213605963,5.39-5.43x3.38,4800,-26.60%,$2149.15,62.50%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,6213605963
H2IZ5,round,0.30,G,SI1,VG,VG,EX,N,GIA,1387722584,4.28-4.31x2.72,1900,-39.30%,$345.99,63.30%,54.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,1387722584
