Stone_NO,Shape,Weight,Color,Clarity,Cut,Polish,Symm,FlrIntens,FlrColor,FColor,FCIntens,FCOverton,Measurement,Diameter_Min,Diameter_Max,Total_Depth,Lab,LabLocation,Lab_Report_No,LabLink,Lab_Report_Date,Laser_Inscription,Treatment,Location,Total_Depth_Per,Table_Diameter_Per,GirdleName,GirdleThin_ID,GirdleThick_ID,Girdle_Per,GirdleCon,CuletSize,CuletCon,CrownHeight,CrownAngle,PavillionHeight,PavillionAngle,PairStock_No,Parcels_Stone,Comment,KeyToSymbols,Shade,StarLength,LowerHalve,Table_Inclusion,Black_Inclusion,Side_Inclusion,Open_Inclusion,Brand,HnA,Ratio,Eyeclean,Tinge,Feather_Inclusion,Milkey,Luster,Internal_Graining,Surface_Graining,Natural_Type,ExtraFacet,Fancy_Color_Description,Stone_Comment,NewArrival,StockStatus,Is_VedioExist,Is_imgExist,Is_CertyExist,Certificate_file_url,Stone_Img_url,Video_url,Lab_Report_Comment,Remarks,Control_No,LiveRAP,SaleDis,SaleRate,SaleAmt,BIS,BIC,WIS,WIC
KG-72631,ROUND,0.300,F,SI1,VG,VG,VG,NON,,,,,4.23 - 4.24 * 2.68,4.23,4.24,2.68,GIA,NEW YORK,2225329894,https://www.gia.edu/report-check?reportno=2225329894,07/03/2022,GIA 2225329894,,IND,63.30,59.00,MED to THK,MED,THK,4.50,FACETED,NONE,,15.50,37.00,43.50,41.20,,,,Crystal  Feather,,50.00,80.00,SB0,TB1,SF1,SC0,,,0.997642,,,TF1,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,4,2100.0,-49.0,1071.0,321.3,,,,
KG-72765,ROUND,0.300,K,VVS1,EX,EX,EX,NON,,,,,4.26 - 4.28 * 2.68,4.26,4.28,2.68,GIA,NEW YORK,2223328638,https://www.gia.edu/report-check?reportno=2223328638,14/03/2022,GIA 2223328638,,IND,62.80,57.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,43.00,41.00,,,,Pinpoint  Feather  Indented Natural  Cavity,,45.00,80.00,SB0,TB0,SF0,SC0,,,0.995327,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,312,1800.0,-36.5,1143.0,342.9,,,,
PDFN-452,EMERALD,0.500,H,VS2,,EX,VG,FNT,,,,,5.20 - 3.83 * 2.62,5.20,3.83,2.62,GIA,NEW YORK,2225329580,https://www.gia.edu/report-check?reportno=2225329580,14/03/2022,GIA 2225329580,,IND,68.50,68.00,THK,THK,,0.00,,NONE,,0.00,,0.00,,,,,Crystal  Feather,,0.00,0.00,SB0,TB1,SF0,SC0,,,1.3577,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/PDFN-452.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=PDFN-452,,,535,2600.0,-44.0,1456.0,728.0,,,,
PDFN-462,EMERALD,0.520,F,VS2,,EX,VG,NON,,,,,5.03 - 3.89 * 2.78,5.03,3.89,2.78,GIA,NEW YORK,5222329563,https://www.gia.edu/report-check?reportno=5222329563,14/03/2022,GIA 5222329563,,IND,71.50,68.00,THK to VTK,THK,VTK,0.00,,NONE,,0.00,,0.00,,,,,Crystal,,0.00,0.00,SB0,TB0,SF0,SC0,,,1.29306,,,TF1,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,536,2900.0,-44.0,1624.0,844.48,,,,
PDFN-463,EMERALD,0.540,E,VS2,,VG,EX,FNT,,,,,5.61 - 3.84 * 2.66,5.61,3.84,2.66,GIA,NEW YORK,5222329579,https://www.gia.edu/report-check?reportno=5222329579,14/03/2022,GIA 5222329579,,IND,69.30,63.00,STK to THK,STK,THK,0.00,,NONE,,0.00,,0.00,,,,,Feather  Crystal,,0.00,0.00,SB0,TB1,SF0,SC0,,,1.46094,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,537,3000.0,-46.0,1620.0,874.8,,,,
PDFN-464,EMERALD,0.550,F,VVS2,,EX,VG,FNT,,,,,5.51 - 4.01 * 2.71,5.51,4.01,2.71,GIA,NEW YORK,5221329552,https://www.gia.edu/report-check?reportno=5221329552,14/03/2022,GIA 5221329552,,IND,67.50,65.00,STK to THK,STK,THK,0.00,,NONE,,0.00,,0.00,,,,,Cloud  Pinpoint  Feather,,0.00,0.00,SB0,TB0,SF0,SC0,,,1.37406,,,TF1,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,538,3200.0,-45.0,1760.0,968.0,,,,
KG-72444,ROUND,0.300,H,SI2,VG,EX,EX,NON,,,,,4.28 - 4.30 * 2.69,4.28,4.30,2.69,GIA,NEW YORK,2225327748,https://www.gia.edu/report-check?reportno=2225327748,14/03/2022,GIA 2225327748,,IND,62.60,55.00,VTN to MED,VTN,MED,3.50,FACETED,NONE,,16.00,35.50,43.50,41.00,,,,Feather,,45.00,80.00,SB0,TB0,SF2,SC0,,,0.995349,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,1,1600.0,-38.0,992.0,297.6,,,,
KG-72380,ROUND,0.400,K,VS1,VG,EX,VG,FNT,,,,,4.59 - 4.63 * 2.97,4.59,4.63,2.97,GIA,NEW YORK,2223325590,https://www.gia.edu/report-check?reportno=2223325590,14/03/2022,GIA 2223325590,,IND,64.40,60.00,STK to THK,STK,THK,5.50,FACETED,NONE,,15.00,36.50,44.00,41.40,,,,Crystal  Cloud,,50.00,80.00,SB0,TB0,SF0,SC0,,,0.991361,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,1,1800.0,-43.0,1026.0,410.4,,,,
KG-72383,ROUND,0.300,K,SI1,VG,EX,VG,NON,,,,,4.31 - 4.34 * 2.56,4.31,4.34,2.56,GIA,NEW YORK,2225325577,https://www.gia.edu/report-check?reportno=2225325577,14/03/2022,GIA 2225325577,,IND,59.20,61.00,MED to THK,MED,THK,4.50,FACETED,VERY SMALL,,12.50,33.00,42.50,40.40,,,,Cloud  Crystal  Feather,,50.00,75.00,SB1,TB0,SF0,SC1,,,0.993088,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,2,1300.0,-43.0,741.0,222.3,,,,
KG-72386,ROUND,0.300,F,VS1,VG,EX,EX,NON,,,,,4.17 - 4.21 * 2.69,4.17,4.21,2.69,GIA,NEW YORK,5221325572,https://www.gia.edu/report-check?reportno=5221325572,14/03/2022,GIA 5221325572,,IND,64.20,57.00,STK to THK,STK,THK,5.00,FACETED,NONE,,17.00,38.00,42.50,40.40,,,,Indented Natural  Pinpoint,,50.00,80.00,SB0,TB0,SF0,SC0,,,0.990499,,,TF1,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,5,2400.0,-40.0,1440.0,432.0,,,,
