availability,cash_price,comments,inclusion_center,color,girdle_min, city,country,cash_discount,cert_comment,lab,fancy_color_dominant_color,fancy_color_intensity,fancy_color_overtone,cut,girdle_condition,set_matched_pair_separable,milky,pair_stock_num,parcel_stones,state,polish,treatment,fancy_color_secondary_color, culet_condition,bgm,crown_angle,laser_inscription,trade_show.,eye_clean,shade,inclusion_black,inclusion_open,camera_type,size,symmetry,measurement,ratio, meas_length,meas_width, fluor_color, meas_depth,culet_size,image_url,stock_num,pavilion_angle,Star,Lower_Halves,video_url,shape,clarity, discount_percent,price_per_carat,total_sales_price, Girdle,girdle_percent,crown_height,pavilion_depth,camera_ref,cert_url,cert_num,fluor_intensity,table_percent,depth_percent
A,,Cloud  Pinpoint  Feather,CW1,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,35.5,GIA 5426858942,,100%,NONE,NB,NO OPEN,,0.34,EX,4.44 - 4.47 * 2.75,null,4.47,4.44,null,2.75,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-147650/still.jpg,15R-147650,41,50,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-147650/video.mp4,ROUND,VVS1,-43.5,1582,537.88,THN - STK,,14.5,43.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/5426858942.Pdf,5426858942,FNT,59,61.7
A,,Internal Graining  Feather,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,35,GIA 7436760044,,100%,NONE,NB,NO OPEN,,0.3,EX,4.27 - 4.30 * 2.64,null,4.3,4.27,null,2.64,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-153649/still.jpg,15R-153649,41,50,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-153649/video.mp4,ROUND,VVS1,-34.5,1834,550.2,MED - STK,,14,43.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/7436760044.Pdf,7436760044,NONE,60,61.7
A,,Feather  Pinpoint  Indented Natural  Surface Graining,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,32.5,GIA 2397204995,,100%,BRN1,NB,NO OPEN,,0.3,VG,4.30 - 4.36 * 2.58,null,4.36,4.3,null,2.58,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21693/still.jpg,15B-21693,40.8,45,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21693/video.mp4,ROUND,VVS2,-44.5,1443,432.9,,,12.5,43,,https://pckrstg.blob.core.windows.net/hdfile/Cert/2397204995.Pdf,2397204995,NONE,61,59.7
A,,Needle  Pinpoint,CW1,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,36.5,GIA 6425682346,,100%,NONE,TBL0,NO OPEN,,0.3,EX,4.25 - 4.28 * 2.68,null,4.28,4.25,null,2.68,VERY SMALL,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-146542/still.jpg,15R-146542,40.6,50,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-146542/video.mp4,ROUND,VVS2,-44,1456,436.8,MED - STK,,16.5,42.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6425682346.Pdf,6425682346,FNT,55,62.7
A,,Cloud  Needle  Feather  Pinpoint,NONE,F,,,INDIA,,null,GIA,null,null,null,VG,,,NONE,,,,EX,,,,,33,GIA 6431754331,,100%,NONE,NB,NO OPEN,,0.3,VG,4.23 - 4.29 * 2.68,null,4.29,4.23,null,2.68,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-153433/still.jpg,15R-153433,42,50,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-153433/video.mp4,ROUND,VVS2,-43.5,1469,440.7,MED - THK,,13.5,45,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6431754331.Pdf,6431754331,NONE,60,63
A,,Pinpoint,CW0,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,34.5,GIA 6392857513,,100%,NONE,NB,NO OPEN,,0.31,EX,4.35 - 4.37 * 2.66,null,4.37,4.35,null,2.66,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-126101/still.jpg,15R-126101,41.4,50,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-126101/video.mp4,ROUND,VVS2,-42.5,1495,463.45,MED - STK,,13.5,44,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6392857513.Pdf,6392857513,FNT,61,61
A,,Pinpoint  Cloud  Internal Graining  Surface Graining,CW1,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,35.5,GIA 6432776449,,100%,NONE,NB,NO OPEN,,0.31,EX,4.29 - 4.32 * 2.69,null,4.32,4.29,null,2.69,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-153786/still.jpg,15R-153786,41.2,45,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-153786/video.mp4,ROUND,VVS2,-42.5,1495,463.45,STK,,14.5,43.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6432776449.Pdf,6432776449,FNT,59,62.4
A,,Pinpoint,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,33,GIA 6391747022,,100%,NONE,NB,NO OPEN,,0.3,VG,4.33 - 4.35 * 2.59,null,4.35,4.33,null,2.59,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21738/still.jpg,15B-21738,41,50,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21738/video.mp4,ROUND,VVS2,-41.5,1521,456.3,,,12.5,43,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6391747022.Pdf,6391747022,NONE,62,59.7
A,,Feather  Pinpoint,CW1,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,32.5,GIA 2427433233,,100%,NONE,NB,NO OPEN,,0.32,EX,4.39 - 4.42 * 2.65,null,4.42,4.39,null,2.65,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-143960/still.jpg,15R-143960,40.8,45,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-143960/video.mp4,ROUND,VVS2,-35,1690,540.8,STK,,12.5,43,,https://pckrstg.blob.core.windows.net/hdfile/Cert/2427433233.Pdf,2427433233,NONE,60,60.1
A,,Cloud  Pinpoint,CW1,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,31.5,GIA 7436792524,,100%,NONE,NB,NO OPEN,,0.31,EX,4.36 - 4.40 * 2.68,null,4.4,4.36,null,2.68,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-153785/still.jpg,15R-153785,41.8,50,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-153785/video.mp4,ROUND,VVS2,-35,1690,523.9,STK,,12.5,44.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/7436792524.Pdf,7436792524,NONE,60,61.3
