Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K33509,RBC,0.31,H,VS2,EX,EX,EX,No,,4.33 - 4.34 * 2.70,Gia,1403256487,,2000.00,1520.00,-24.00,471.20,,,,62.30,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.00,GIA 1403256487,Crystal  Cloud  Feather,NO,N,YES,,,,
K33510,RBC,0.30,F,SI1,G,EX,EX,No,,4.17 - 4.20 * 2.70,Gia,6405256448,,2000.00,1320.00,-34.00,396.00,,,,64.60,56.00,STK to THK,STK to THK,5.00,F,,NON,17.00,37.50,43.00,40.80,GIA 6405256448,Crystal,NO,N,YES,,,,
K33513,RBC,0.30,J,SI2,EX,EX,VG,No,,4.24 - 4.28 * 2.66,Gia,6401249279,,1300.00,962.00,-26.00,288.60,,,,62.40,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.50,41.20,GIA 6401249279,Feather,NO,N,YES,,,,
K33514,RBC,0.30,K,SI1,EX,EX,EX,MED,,4.26 - 4.28 * 2.68,Gia,5406249284,,1300.00,949.00,-27.00,284.70,,,,62.70,56.00,STK,STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 5406249284,Crystal  Cloud,NO,N,YES,,,,
K33515,RBC,0.30,L,VS2,VG,VG,VG,MED,,4.16 - 4.20 * 2.67,Gia,6402249289,,1200.00,816.00,-32.00,244.80,,,,63.90,58.00,MED to THK,MED to THK,5.00,F,,NON,17.00,38.50,42.00,40.00,GIA 6402249289,Feather  Indented Natural,NO,N,YES,,,,
K33516,RBC,0.30,D,VS2,VG,EX,EX,VST,,4.17 - 4.20 * 2.70,Gia,7408249298,,2400.00,1248.00,-48.00,374.40,,,,64.60,56.00,STK to THK,STK to THK,5.00,F,,NON,17.00,38.00,42.50,40.40,GIA 7408249298,Crystal  Feather  Indented Natural,NO,N,YES,,,,
K33517,RBC,0.33,F,SI1,EX,EX,EX,VST,,4.41 - 4.42 * 2.78,Gia,1403249302,,2000.00,1200.00,-40.00,396.00,,,,63.00,58.00,STK,STK,4.00,F,,NON,14.50,35.00,44.00,41.60,GIA 1403249302,Crystal,NO,N,YES,,,,
K33519,RBC,0.37,F,SI1,EX,EX,EX,FNT,,4.58 - 4.61 * 2.82,Gia,2407249313,,2000.00,1420.00,-29.00,525.40,,,,61.30,60.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.00,40.60,GIA 2407249313,Crystal  Cloud  Feather,NO,N,YES,,,,
K33521,RBC,0.30,D,SI1,EX,EX,EX,VST,,4.30 - 4.32 * 2.61,Gia,7402249323,,2200.00,1232.00,-44.00,369.60,,,,60.50,62.00,MED to STK,MED to STK,4.00,F,,NON,13.00,34.00,43.50,41.00,GIA 7402249323,Crystal,NO,N,YES,,,,
K33522,RBC,0.30,J,VS1,EX,EX,VG,STG,,4.24 - 4.28 * 2.68,Gia,2407255978,,1700.00,1156.00,-32.00,346.80,,,,62.90,55.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.50,42.50,40.60,GIA 2407255978,Feather  Indented Natural  Pinpoint,NO,N,YES,,,,
