stock_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
10235722,HK,G,round,0.30,F,VS1,VG,EX,VG,F,4.26x4.29x2.60,GIA,5373897929,2300,-45.65%,$375.02,WH,M0,,,,,EC0,,Y,65.00,60.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235698,HK,G,round,0.30,H,SI1,EX,EX,EX,N,4.32x4.3x2.62,GIA,3395920523,1800,-28.60%,$385.56,WH,M0,,,,,EC0,,Y,60.00,60.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235697,HK,G,round,0.30,F,SI1,GD,EX,VG,N,4.14x4.12x2.73,GIA,3405169984,2000,-47.60%,$314.40,WH,M0,,,,,EC0,,Y,59.00,66.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235675,HK,G,round,0.30,F,SI1,GD,VG,VG,N,4.38x4.34x2.52,GIA,1398311157,2000,-47.60%,$314.40,WH,M0,,,,,EC0,,Y,65.00,57.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235662,HK,G,round,0.30,G,VS1,EX,EX,EX,N,4.34x4.3x2.63,GIA,2407723599,2200,-32.20%,$447.48,WH,M0,,,,,EC0,,Y,60.00,60.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235608,SZ,G,round,0.70,H,SI1,EX,EX,EX,N,5.6x5.65x3.57,GIA,5406403083,3700,-26.50%,$1903.65,WH,M0,,,,,EC0,,Y,57.00,63.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235596,SZ,G,round,0.70,F,VS2,VG,EX,VG,N,5.51x5.55x3.57,GIA,1398371854,5000,-39.00%,$2135.00,WH,M0,,,,,EC0,,Y,56.00,64.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235594,HK,G,round,0.70,D,VVS1,EX,EX,EX,N,5.62x5.66x3.56,GIA,2397798125,6900,-34.90%,$3144.33,WH,M0,,,,,EC0,,Y,57.00,63.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235570,HK,G,round,0.51,H,SI1,VG,VG,VG,N,4.92x5x3.19,GIA,7406598787,3100,-35.90%,$1013.42,WH,M0,,,,,EC0,,Y,58.00,64.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235560,HK,G,round,0.50,J,SI1,VG,EX,EX,F,4.92x4.97x3.19,GIA,2408503752,2200,-37.41%,$688.49,WH,M0,,,,,EC0,,Y,57.00,64.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235549,HK,G,round,0.50,H,SI1,EX,EX,EX,N,5.04x5.09x3.11,GIA,6405073312,3100,-27.60%,$1122.20,WH,M0,,,,,EC0,,Y,60.00,61.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235528,HK,G,round,0.50,H,VS1,EX,EX,EX,N,5.04x5.07x3.13,GIA,5393483346,3800,-28.90%,$1350.90,WH,M0,,,,,EC0,,Y,60.00,61.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235527,HK,G,round,0.50,H,VS1,EX,EX,EX,N,5.12x5.15x3.12,GIA,6395560412,3800,-28.90%,$1350.90,WH,M0,,,,,EC0,,Y,59.00,60.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235519,HK,G,round,0.50,G,SI2,EX,EX,EX,N,5.14x5.17x3.07,GIA,3395884165,2600,-31.40%,$891.80,WH,M0,,,,,EC0,,Y,60.00,59.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235517,HK,G,round,0.50,G,SI2,EX,EX,EX,N,5.03x5.07x3.18,GIA,5393944019,2600,-31.40%,$891.80,WH,M0,,,,,EC0,,Y,57.00,63.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235515,SZ,G,round,0.50,G,SI2,EX,EX,EX,N,5.02x5.06x3.2,GIA,1395878726,2600,-30.90%,$898.30,WH,M0,,,,,EC0,,Y,57.00,63.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
